amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
1084.55,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/CILADMIN 1,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-1
1084.55,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/CILADMIN 2,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-2
1084.55,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/CILADMIN 3,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-3
3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 1,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-1
3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 2,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-2
3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 3,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-3
17352.9,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/IDP 1,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-1
17352.9,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/IDP 2,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-2
17352.9,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/IDP 3,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-3
2455,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/CILADMIN 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-1
2455,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/CILADMIN 2,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-2
2455,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/CILADMIN 3,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-3
7365.03,neighbourhood-community-infrastructure-levy,18/00743/FUL/CIL,18/00743/NEIGHBOURHOOD 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD-1
7365.03,neighbourhood-community-infrastructure-levy,18/00743/FUL/CIL,18/00743/NEIGHBOURHOOD 2,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD-2
7365.03,neighbourhood-community-infrastructure-levy,18/00743/FUL/CIL,18/00743/NEIGHBOURHOOD 3,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD-3
39280.14,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/IDP 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-IDP-1
39280.14,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/IDP 2,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-IDP-2
