amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
148245.74,education,20030860V-da,20030860ED1,,2020-10-29,2007-07-06,,
148245.74,education,20030860V-da,20030860ED2,,2020-10-29,2007-07-06,,
1.25E+4,highways,20030860v-da,20030860HW,,2020-10-29,2007-07-06,,
39101.24,open-space-and-leisure,20031575-da,20031575OP,,2020-10-29,2006-03-15,,
30131.6,open-space-and-leisure,20041114-da,20041114OP,,2020-10-29,2005-12-09,,
5E+4,other,20050803-da,20050803TC,,2020-10-29,2005-11-14,,
2.5E+2,highways,20050879-da,20050879HW,,2020-10-29,2006-02-21,,
1.9872E+5,education,20060782-da,20060782ED,,2020-10-29,2007-01-30,,
164077.36,education,20071970-da,20071970ED,,2020-10-29,2008-03-03,,
34519,open-space-and-leisure,20071970-da,20071970OP,,2020-10-29,2008-03-03,,
5.028E+4,education,20080338-da,20080338ED1,,2020-10-29,2011-08-23,,
3.771E+4,education,20080338-da,20080338ED2,,2020-10-29,2011-08-23,,
3.771E+4,education,20080338-da,20080338ED3,,2020-10-29,2011-03-23,,
30526.5,open-space-and-leisure,20080338-da,20080338OP1,,2020-10-29,2011-08-23,,
30526.5,open-space-and-leisure,20080338-da,20080338OP2,,2020-10-29,2011-08-23,,
24336.04,highways,20090334-da,20090334HW,,2020-10-29,2011-08-08,,
17064.8,affordable-housing,20110802-da,20110802AH,,2020-10-29,2012-04-30,,
7037,highways,20111110-da,20111110HW,,2020-10-29,2012-03-26,,
16119.36,affordable-housing,20111464-da,20111464AH,,2020-10-29,2012-07-30,,
3E+5,highways,20121288-da,20121288HW,,2020-10-29,2013-02-28,,
6E+4,highways,20121303-da,20121303HW,,2020-10-29,2014-08-19,,
1.364E+5,affordable-housing,20130643-da,20130643AH,,2020-10-29,2014-05-07,,
4349.48,open-space-and-leisure,20130734-da,20130734OP,,2020-10-29,2014-11-04,,
16733,open-space-and-leisure,20131578-da,20131578LEI,,2020-10-29,2014-06-05,,
,affordable-housing,20140196-da,20140196AH,,2020-10-29,2014-06-03,4,
1.1451E+5,education,20140196-da,20140196ED,2017-10-24,2020-10-29,2014-06-03,,
44311.91,open-space-and-leisure,20140196-da,20140196REC,2017-10-24,2020-10-29,2014-06-03,,
5.45E+3,open-space-and-leisure,20140249-da,20140249REC,,2020-10-29,2014-06-13,,
,affordable-housing,20140881-da,20140881AH,,2020-10-29,2020-06-03,1,
34884.17,open-space-and-leisure,20141061-da,20141061REC,,2020-10-30,2017-03-27,,
21800.13,open-space-and-leisure,20150111-da,20150111REC,,2020-10-30,2018-05-01,,
26056.05,highways,20150111-da,20150111HW1,,2020-10-30,2017-10-09,,
5016.78,highways,20150111-da,20150111HW2,,2020-10-30,2018-05-01,,
17427,affordable-housing,20150200-da,20150200AH,,2020-10-30,2016-06-08,,
2458.43,open-space-and-leisure,20150200-da,20150200REC,,2020-10-30,2016-06-08,,
4.5E+4,affordable-housing,20150228-da,20150228AH,,2020-10-30,2015-09-29,,
5016.78,open-space-and-leisure,20150282-da,20150282REC,,2020-10-30,2015-06-29,,
,affordable-housing,20150481-da,20150481AH,,2020-10-30,2016-08-18,1,
4879.47,open-space-and-leisure,20150481-da,20150481REC,,2020-10-30,2016-08-18,,
12694.08,affordable-housing,20150528-da,20150528AH,,2020-10-30,2016-05-05,,
13070.64,affordable-housing,20150537-da,20150537AH,,2020-10-30,2016-02-01,,
1.5E+3,highways,20150597-da,20150597HW,,2020-10-30,2016-03-23,,
,affordable-housing,20150597-da,20150597AH,,2020-10-30,2016-03-23,14,
42209.89,open-space-and-leisure,20150597-da,20150597REC,,2020-10-30,2016-03-23,,
2533.86,open-space-and-leisure,20150856-da,20150856OS,,2020-10-30,2016-06-09,,
2990.78,open-space-and-leisure,20150917-da,20150917REC,,2020-10-30,2017-05-23,,
7050.22,open-space-and-leisure,20150922-da,20150922REC,,2020-10-30,2015-11-16,,
2.122E+4,affordable-housing,20151139-da,20151139AH,,2020-10-30,2016-06-09,,
3.03E+3,open-space-and-leisure,20151139-da,20151139REC,,2020-10-30,2016-06-09,,
4158.57,open-space-and-leisure,20151187-da,20151187REC,,2020-10-29,2016-03-14,,
33955,affordable-housing,20151195-da,20151195AH1,,2020-10-30,2016-03-07,,
8488,affordable-housing,20151195-da,20151195AH2,2017-02-01,2020-10-30,2016-03-07,,
4821.82,open-space-and-leisure,20151195-da,20151195REC1,,2020-10-30,2016-03-07,,
1205.46,open-space-and-leisure,20151195-da,20151195REC2,,2020-10-30,2016-03-07,,
,affordable-housing,20151308-da,20151308AH,,2020-10-30,2016-02-26,11,
102384,education,20151308-da,20151308ED1,,2020-10-30,2016-02-26,,
102384,education,20151308-da,20151308ED2,,2020-10-30,2016-02-26,,
136512,education,20151308-da,20151308ED3,,2020-10-30,2016-02-26,,
41786.07,open-space-and-leisure,20151308-da,20151308REC,,2020-10-30,2016-02-26,,
,affordable-housing,20151390-da,20151390AH1,2019-12-17,2020-10-30,2017-06-02,5,
,affordable-housing,20151390-da,20151390AH2,2019-12-17,2020-10-30,2017-06-02,5,
,affordable-housing,20151390-da,20151390AH3,2019-12-17,2020-10-30,2017-06-02,5,
,affordable-housing,20151390-da,20151390AH4,2019-12-17,2020-10-30,2017-06-02,5,
,affordable-housing,20151390-da,20151390AH5,2019-12-17,2020-10-30,2017-06-02,7,
87350.4,education,20151390-da,20151390ED1,,2020-10-30,2017-06-02,,
87350.4,education,20151390-da,20151390ED2,,2020-10-30,2017-06-02,,
116467.2,education,20151390-da,20151390ED3,,2020-10-30,2017-06-02,,
,open-space-and-leisure,20151390-da,20151390OS,,2020-10-30,2017-06-02,1,
84460.82,open-space-and-leisure,20151390-da,20151390rec,,2020-10-30,2017-06-02,,
2.6E+4,other,20151390-da,20151390ARC,,2020-10-30,2017-06-02,,
,affordable-housing,20151531-da,20151531AH,,2020-10-29,2016-10-14,41,
34201.79,open-space-and-leisure,20151531-da,20151531REC,,2020-10-29,2016-10-14,,
,affordable-housing,20160337-da,20160337AH,,2020-10-30,2017-09-22,5,
38801,open-space-and-leisure,20160337-da,20160337OS1,,2020-10-30,2017-09-22,,
,open-space-and-leisure,20160337-da,20160337OS2,,2020-10-30,2017-09-22,1,
6387.34,open-space-and-leisure,20160805-da,20160805REC,,2020-10-30,2016-12-23,,
12230.97,open-space-and-leisure,20160848-da,20160848REC,,2020-10-30,2016-12-08,,
11033.52,affordable-housing,20161531-da,20161531AH,,2020-11-25,2017-02-01,,
,affordable-housing,20161601-da,20161601AH,,2020-11-25,2017-01-05,27,
36210.66,open-space-and-leisure,20161611-da,20161611REC,,2020-10-30,2017-09-13,,
,affordable-housing,20161704-da,20161704AH,,2020-11-25,2017-04-03,4,
3.6E+4,other,20161704-da,20161704O,,2020-11-25,2017-04-03,,
3.6E+4,open-space-and-leisure,20161704-da,20161704REC,,2020-11-25,2017-04-03,,
42243.12,open-space-and-leisure,20161704-da,20161704LEI,,2020-11-25,2017-04-03,,
,affordable-housing,20161710-da,20161710AH,,2020-11-23,2017-05-22,2,
6331.99,open-space-and-leisure,20161710-da,20161710REC1,,2020-11-23,2017-05-22,,
6332,open-space-and-leisure,20161710-da,20161710REC2,,2020-11-23,2017-05-22,,
93039.6,education,20161793-da,20161793ED1,,2020-11-23,2017-06-07,,
93039.6,education,20161793-da,20161793ED2,,2020-11-23,2017-06-07,,
124052.8,education,20161793-da,20161793ED3,,2020-11-23,2017-06-07,,
1.936E+5,affordable-housing,20161793-da,20161793AH1,,2020-11-23,2017-06-07,,
1.936E+5,affordable-housing,20161793-da,20161793AH2,,2020-11-23,2017-06-07,,
1.694E+5,affordable-housing,20161793-da,20161793AH3,,2020-11-23,2017-06-07,,
65024.51,open-space-and-leisure,20161793-da,20161793OS1,,2020-11-23,2017-06-07,,
,open-space-and-leisure,20161793-da,20161793OS2,,2020-11-23,2017-06-07,1,
4378.67,open-space-and-leisure,20161793-da,20161793REC,,2020-11-23,2017-06-07,,
16936,highways,20161793-da,20161793HW,,2020-11-23,2017-06-07,,
1E+4,open-space-and-leisure,20161793-da,20161793LEI1,,2020-11-23,2017-06-07,,
1E+4,open-space-and-leisure,20161793-da,20161793LEI2,,2020-11-23,2017-06-07,,
24990.47,flood-and-water-management,20161793-da,20161793DR1,,2020-11-23,2017-06-07,,
,flood-and-water-management,20161793-da,20161793DR2,,2020-11-23,2017-06-07,1,
10113,education,20161816-da,20161816ED,,2020-10-29,2017-01-23,,
11033.52,affordable-housing,20161993-da,20161993AH,,2020-10-29,2017-02-01,,
,affordable-housing,20162009-da,20162009AH,,2020-10-30,2017-07-28,3,
,open-space-and-leisure,20162009-da,20162009OP,,2020-10-30,2017-07-28,1,
3.341E+4,open-space-and-leisure,20162009-da,20162009REC,,2020-10-30,2017-07-28,,
,affordable-housing,20170233-da,20170233AH,,2020-10-30,2017-05-22,2,
6331.99,open-space-and-leisure,20170233-da,20170233REC1,,2020-10-30,2017-05-22,,
6332,open-space-and-leisure,20170233-da,20170233REC2,,2020-10-30,2022-05-22,,
