amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
1.6E+4,affordable-housing,P/2018/01046-da,Affordable Housing,,2020-08-20,2019-05-22,6,
0,open-space-and-leisure,P/2018/01046-da,POS,,2020-08-20,2019-05-22,2,
2.5E+5,community-facilities,P/2018/01046-da,Community Facilities,,2020-08-20,2019-05-22,0,
0,transport-and-travel,P/2018/01046-da,Bus Service,,2020-08-20,2019-05-22,1,
0,affordable-housing,P/2018/00939-da,Affordable Housing,,2020-08-20,2019-09-13,24,
1.525E+4,open-space-and-leisure,P/2018/00939-da,POS,,2020-08-20,2019-09-13,0,
3.85E+3,green-infrastructure,P/2018/00939-da,National Forest,,2020-08-20,2019-09-13,0,
1.8E+3,other,P/2018/00939-da,Refuse,,2020-08-20,2019-09-13,0,
0,affordable-housing,P/2019/00703-da,Affordable Housing,,2020-08-20,2020-03-04,39,
8.4E+3,open-space-and-leisure,P/2019/00703-da,POS,,2020-08-20,2020-03-04,0,
1.1E+3,other,P/2019/00703-da,Refuse,,2020-08-20,2020-03-04,0,
