amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
,affordable-housing,07/18/1146/F-da,Con_1,,2020-12-16,2020-03-23,60,
7002,community-facilities,07/18/1146/F-da,Con_2,,2020-12-16,2020-03-23,,
86675,transport-and-travel,07/18/1146/F-da,Con_3,,2020-12-16,2020-03-23,,
56323,community-facilities,07/18/1146/F-da,Con_4,,2020-12-16,2020-03-23,,
,affordable-housing,07/19/0179/F-da,Con_5,,2020-12-16,2020-01-27,23,
,affordable-housing,07/17/0864/O-da,Con_6,,2020-12-16,2020-01-22,144,
5.4E+4,bonds,07/17/0864/O-da,Con_7,,2020-12-16,2020-01-22,,
114182.32,transport-and-travel,07/17/0864/O-da,Con_8,,2020-12-16,2020-01-22,,
229165.2,health,07/17/0864/O-da,Con_9,,2020-12-16,2020-01-22,,
658537.2,highways,07/17/0864/O-da,Con_10,,2020-12-16,2020-01-22,,
3209173,education,07/17/0864/O-da,Con_11,,2020-12-16,2020-01-22,,
26324.66,other,07/17/0864/O-da,Con_12,,2020-12-16,2020-01-22,,
1.08E+6,education,07/17/0864/O-da,Con_13,,2020-12-16,2020-01-22,,
2851902,education,07/17/0864/O-da,Con_14,,2020-12-16,2020-01-22,,
9E+5,open-space-and-leisure,07/17/0864/O-da,Con_15,,2020-12-16,2020-01-22,,
714895.37,open-space-and-leisure,07/17/0864/O-da,Con_16,,2020-12-16,2020-01-22,,
503535.6,transport-and-travel,07/17/0864/O-da,Con_17,,2020-12-16,2020-01-22,,
219512,other,07/17/0864/O-da,Con_18,,2020-12-16,2020-01-22,,
64179.18,open-space-and-leisure,07/17/0864/O-da,Con_19,,2020-12-16,2020-01-22,,
1.5E+4,other,07/19/0164/F-da,Con_20,,2020-12-16,2019-12-03,,
1.2E+5,community-facilities,07/18/1039/F-da,Con_21,,2020-12-16,2020-10-20,,
,affordable-housing,07/18/1097/O-da,Con_22,,2020-12-16,2019-10-16,32,
1.414E+6,education,07/18/1097/O-da,Con_23,,2020-12-16,2019-10-16,,
5E+4,health,07/18/1097/O-da,Con_24,,2020-12-16,2019-10-16,,
1.4E+5,highways,07/18/1097/O-da,Con_25,,2020-12-16,2019-10-16,,
12925,community-facilities,07/18/1097/O-da,Con_26,,2020-12-16,2019-10-16,,
2.3E+5,open-space-and-leisure,07/18/1097/O-da,Con_27,,2020-12-16,2019-10-16,,
1.4E+5,transport-and-travel,07/18/1097/O-da,Con_28,,2020-12-16,2019-10-16,,
3024,other,07/18/1097/O-da,Con_29,,2020-12-16,2019-10-16,,
,affordable-housing,07/18/0756/F-da,Con_30,,2020-12-16,2019-09-27,8,
1053,community-facilities,07/19/0221/F-da,Con_31,,2020-12-16,2019-08-05,,
3.3E+4,other,07/19/0221/F-da,Con_32,,2020-12-16,2019-08-05,,
,affordable-housing,07/18/0461/O-da,Con_33,,2020-12-16,2019-07-26,185,
7.75E+6,education,07/18/0461/O-da,Con_34,,2020-12-16,2019-07-26,,
4.5E+6,education,07/18/0461/O-da,Con_35,,2020-12-16,2019-07-26,,
7.5E+5,green-infrastructure,07/18/0461/O-da,Con_36,,2020-12-16,2019-07-26,,
2.1E+6,highways,07/18/0461/O-da,Con_37,,2020-12-16,2019-07-26,,
2.65E+6,other,07/18/0461/O-da,Con_38,,2020-12-16,2019-07-26,,
2.5E+5,transport-and-travel,07/18/0461/O-da,Con_39,,2020-12-16,2019-07-26,,
1.5125E+6,transport-and-travel,07/18/0461/O-da,Con_40,,2020-12-16,2019-07-26,,
6.77E+5,transport-and-travel,07/18/0461/O-da,Con_41,,2020-12-16,2019-07-26,,
9.265E+4,transport-and-travel,07/18/0461/O-da,Con_42,,2020-12-16,2019-07-26,,
1E+5,highways,07/18/0461/O-da,Con_43,,2020-12-16,2019-07-26,,
6.3E+5,open-space-and-leisure,07/18/0461/O-da,Con_44,,2020-12-16,2019-07-26,,
298697,community-facilities,07/18/0461/O-da,Con_45,,2020-12-16,2019-07-26,,
5E+5,health,07/18/0461/O-da,Con_46,,2020-12-16,2019-07-26,,
,affordable-housing,07/18/0806/F-da,Con_47,,2020-12-16,2019-07-23,24,
4875,community-facilities,07/18/0806/F-da,Con_48,,2020-12-16,2019-07-23,,
2628,community-facilities,07/18/0806/F-da,Con_49,,2020-12-16,2019-07-23,,
222,other,07/18/0806/F-da,Con_50,,2020-12-16,2019-07-23,,
4.83E+4,transport-and-travel,07/18/0363/F-da,Con_51,,2020-12-16,2019-07-09,,
2.91E+5,community-facilities,07/18/0363/F-da,Con_52,,2020-12-16,2019-07-09,,
1.98E+6,affordable-housing,07/18/0363/F-da,Con_53,,2020-12-16,2019-07-09,,
,affordable-housing,07/18/0802/F-da,Con_54,,2020-12-16,2019-05-21,30,
2542,other,07/18/0802/F-da,Con_55,,2020-12-16,2019-05-21,,
3.42E+4,transport-and-travel,07/18/0451/F-da,Con_56,,2020-12-16,2019-05-20,,
,affordable-housing,07/17/1044/F-da,Con_57,,2020-12-16,2019-04-04,39,
140466,community-facilities,07/18/0985/F-da,Con_58,,2020-12-16,2019-04-01,,
